"irep","net","h_search","trueh","level","num_dtrees","num_mincyclesize3","gamma","ngraphs","min_nethw","atleastonehashmatch","min_treehw","max_ndisplayed","mean_ndisplayed","relativell"
4,"g3-tc","0",3,"3","6","2","large",5,6,FALSE,2,1,0.4,-146.637203223255
4,"g3-tc","1",3,"3","6","2","large",5,4,FALSE,2,1,1,-12.6895089117516
4,"g3-tc","3",3,"3","6","2","large",5,8,FALSE,2,2,2,4.38850604659069
4,"g4-l4-c34","0",4,"4","10","1","large",5,14,FALSE,2,0,0,-2325.83769412431
4,"g4-l4-c34","1",4,"4","10","1","large",5,10,FALSE,2,0,0,-708.96100891303
4,"g4-l4-c34","4",4,"4","10","1","large",5,6,FALSE,2,2,2,2.10686506558942
4,"g4-lg","0",4,"4","8","2","large",5,14,FALSE,2,1,0.2,-1647.62011501307
4,"g4-lg","1",4,"4","8","2","large",5,6,FALSE,4,1,0.6,-23.9019542308691
4,"g4-lg","4",4,"4","8","2","large",5,4,FALSE,0,2,1.8,3.49488872860011
4,"g4-sg","0",4,"4","8","2","small",5,12,FALSE,0,1,0.4,-64.7952760722081
4,"g4-sg","1",4,"4","8","2","small",5,8,FALSE,0,1,0.6,-18.8289900775029
4,"g4-sg","4",4,"4","8","2","small",5,20,FALSE,2,0,0,10.9049942102677
5,"g1-l1-c3","0",1,"1","1","1","large",5,2,FALSE,0,1,0.2,1.42937707154185
5,"g1-l1-c3","1",1,"1","1","1","large",5,4,FALSE,0,1,0.8,8.56152318703795
5,"g1-l1-c3","2",1,"1","1","1","large",5,6,FALSE,0,1,0.4,11.3725592868892
5,"g1-lg","0",1,"1","2","0","large",5,2,FALSE,0,1,0.4,-37.1653888944824
5,"g1-lg","1",1,"1","2","0","large",5,0,TRUE,0,2,1.6,2.88933292288764
5,"g1-lg","2",1,"1","2","0","large",5,2,FALSE,0,2,2,7.96712592232894
5,"g1-sg","0",1,"1","2","0","small",5,2,FALSE,2,1,0.2,0.289802696043694
5,"g1-sg","1",1,"1","2","0","small",5,2,FALSE,0,1,1,8.36355475344718
5,"g1-sg","2",1,"1","2","0","small",5,4,FALSE,0,1,1,12.8667489040315
5,"g2-l1-c33","0",2,"1","1","2","large",5,4,FALSE,0,1,0.2,3.04225190706283
5,"g2-l1-c33","1",2,"1","1","2","large",5,6,FALSE,0,1,1,4.6657926303867
5,"g2-l1-c33","2",2,"1","1","2","large",5,10,FALSE,0,1,0.8,6.06764945458888
5,"g2-l1-c43","0",2,"1","2","1","large",5,4,FALSE,0,1,0.4,-14.2778446742438
5,"g2-l1-c43","1",2,"1","2","1","large",5,2,FALSE,0,2,1.6,7.06285407519029
5,"g2-l1-c43","2",2,"1","2","1","large",5,4,FALSE,0,2,1.4,10.4034944677328
5,"g2-l1-c44","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-9.40749773020741
5,"g2-l1-c44","1",2,"1","4","0","large",5,2,FALSE,0,2,1.6,3.41233401285578
5,"g2-l1-c44","2",2,"1","4","0","large",5,6,FALSE,0,1,0.2,7.67599264163886
5,"g2-l1-c45","0",2,"1","4","0","large",5,4,FALSE,0,1,0.4,-263.36050999394
5,"g2-l1-c45","1",2,"1","4","0","large",5,2,FALSE,0,1,0.6,-19.3997246536628
5,"g2-l1-c45","2",2,"1","4","0","large",5,0,TRUE,0,2,1.6,3.02246577039513
5,"g2-l2-g33","0",2,"2","2","2","large",5,4,FALSE,0,1,0.4,-0.719384227639598
5,"g2-l2-g33","1",2,"2","2","2","large",5,8,FALSE,0,1,0.6,5.73769818315771
5,"g2-l2-g33","2",2,"2","2","2","large",5,10,FALSE,0,1,0.6,11.7122203649178
5,"g2-l2-g46","0",2,"2","4","0","large",5,10,FALSE,6,0,0,-2272.30930678156
5,"g2-l2-g46","1",2,"2","4","0","large",5,2,FALSE,0,1,0.6,-19.4491077132997
5,"g2-l2-g46","2",2,"2","4","0","large",5,0,TRUE,0,2,1.4,4.52290544089881
5,"g2-l2-n04","0",2,"2","3","0","large",5,8,FALSE,2,0,0,-439.590790668717
5,"g2-l2-n04","1",2,"2","3","0","large",5,2,FALSE,2,1,0.6,-2.76334792703508
5,"g2-l2-n04","2",2,"2","3","0","large",5,2,FALSE,0,1,1,2.43503234659126
5,"g2-l2-n44","0",2,"2","4","0","large",5,4,FALSE,0,1,0.4,-215.448512335202
5,"g2-l2-n44","1",2,"2","4","0","large",5,4,FALSE,0,2,1.2,-0.5597233039808
5,"g2-l2-n44","2",2,"2","4","0","large",5,8,FALSE,2,1,0.2,6.60032719425834
5,"g2-l2-n46","0",2,"2","4","0","large",5,10,FALSE,4,0,0,-2526.07924950304
5,"g2-l2-n46","1",2,"2","4","0","large",5,2,FALSE,0,2,0.8,-8.606868518573
